date,SPY_close,SMA200,daily_ret,equity,pct_from_sma200,w_long,w_safe,w_other,TQQQ_value,SPY_value
2024-08-30,563.68,511.49,0.0095,8212.62,10.20,0.00,1.00,0.00,0.00,8212.62
2024-09-03,552.08,512.01,-0.0206,8043.62,7.83,0.00,1.00,0.00,0.00,8043.62
2024-09-04,550.95,512.51,-0.0020,8027.15,7.50,0.00,1.00,0.00,0.00,8027.15
2024-09-05,549.61,513.01,-0.0024,8007.63,7.13,0.00,1.00,0.00,0.00,8007.63
2024-09-06,540.36,513.46,-0.0168,7872.86,5.24,0.00,1.00,0.00,0.00,7872.86
2024-09-09,546.41,513.92,0.0112,7961.01,6.32,0.00,1.00,0.00,0.00,7961.01
2024-09-10,548.79,514.40,0.0044,7995.68,6.69,0.00,1.00,0.00,0.00,7995.68
2024-09-11,554.42,514.89,0.0103,8077.71,7.68,0.00,1.00,0.00,0.00,8077.71
2024-09-12,559.09,515.41,0.0084,8145.75,8.47,0.00,1.00,0.00,0.00,8145.75
2024-09-13,562.01,515.95,0.0052,8188.29,8.93,0.00,1.00,0.00,0.00,8188.29
2024-09-16,562.84,516.49,0.0015,8200.38,8.97,0.00,1.00,0.00,0.00,8200.38
2024-09-17,563.07,517.03,0.0004,8203.74,8.90,0.00,1.00,0.00,0.00,8203.74
2024-09-18,561.40,517.56,-0.0030,8179.41,8.47,0.00,1.00,0.00,0.00,8179.41
2024-09-19,570.98,518.12,0.0171,8318.98,10.20,0.00,1.00,0.00,0.00,8318.98
2024-09-20,568.25,518.67,-0.0017,8304.60,9.56,0.00,1.00,0.00,0.00,8304.60
2024-09-23,569.67,519.24,0.0025,8325.35,9.71,0.00,1.00,0.00,0.00,8325.35
2024-09-24,571.30,519.82,0.0029,8349.18,9.90,0.00,1.00,0.00,0.00,8349.18
2024-09-25,570.04,520.38,-0.0022,8330.76,9.54,0.00,1.00,0.00,0.00,8330.76
2024-09-26,572.30,520.94,0.0040,8363.79,9.86,0.00,1.00,0.00,0.00,8363.79
2024-09-27,571.47,521.49,-0.0015,8351.66,9.58,0.00,1.00,0.00,0.00,8351.66
2024-09-30,573.76,522.04,0.0040,8385.13,9.91,0.00,1.00,0.00,0.00,8385.13
2024-10-01,568.62,522.53,-0.0090,8310.01,8.82,0.00,1.00,0.00,0.00,8310.01
2024-10-02,568.86,523.01,0.0004,8313.52,8.77,0.00,1.00,0.00,0.00,8313.52
2024-10-03,567.82,523.50,-0.0018,8298.32,8.47,0.00,1.00,0.00,0.00,8298.32
2024-10-04,572.98,524.01,0.0091,8373.73,9.35,0.00,1.00,0.00,0.00,8373.73
2024-10-07,567.80,524.47,-0.0090,8298.02,8.26,0.00,1.00,0.00,0.00,8298.02
2024-10-08,573.17,525.00,0.0095,8376.50,9.18,0.00,1.00,0.00,0.00,8376.50
2024-10-09,577.14,525.52,0.0069,8434.52,9.82,0.00,1.00,0.00,0.00,8434.52
2024-10-10,576.13,526.03,-0.0018,8419.76,9.52,0.00,1.00,0.00,0.00,8419.76
2024-10-11,579.58,526.55,0.0060,8470.18,10.07,0.00,1.00,0.00,0.00,8470.18
2024-10-14,584.32,527.09,0.0082,8539.45,10.86,0.00,1.00,0.00,0.00,8539.45
2024-10-15,579.78,527.61,-0.0078,8473.11,9.89,0.00,1.00,0.00,0.00,8473.11
2024-10-16,582.30,528.14,0.0043,8509.93,10.25,0.00,1.00,0.00,0.00,8509.93
2024-10-17,582.35,528.69,0.0001,8510.66,10.15,0.00,1.00,0.00,0.00,8510.66
2024-10-18,584.59,529.27,0.0038,8543.40,10.45,0.00,1.00,0.00,0.00,8543.40
2024-10-21,583.63,529.85,-0.0016,8529.37,10.15,0.00,1.00,0.00,0.00,8529.37
2024-10-22,583.32,530.43,-0.0005,8524.84,9.97,0.00,1.00,0.00,0.00,8524.84
2024-10-23,577.99,530.95,-0.0091,8446.94,8.86,0.00,1.00,0.00,0.00,8446.94
2024-10-24,579.24,531.47,0.0022,8465.21,8.99,0.00,1.00,0.00,0.00,8465.21
2024-10-25,579.04,531.98,-0.0003,8462.29,8.85,0.00,1.00,0.00,0.00,8462.29
2024-10-28,580.83,532.51,0.0031,8488.45,9.07,0.00,1.00,0.00,0.00,8488.45
2024-10-29,581.77,533.03,0.0016,8502.19,9.14,0.00,1.00,0.00,0.00,8502.19
2024-10-30,580.01,533.56,-0.0030,8476.47,8.71,0.00,1.00,0.00,0.00,8476.47
2024-10-31,568.64,534.04,-0.0196,8310.30,6.48,0.00,1.00,0.00,0.00,8310.30
2024-11-01,571.04,534.51,0.0042,8345.38,6.83,0.00,1.00,0.00,0.00,8345.38
2024-11-04,569.81,534.95,-0.0022,8327.40,6.52,0.00,1.00,0.00,0.00,8327.40
2024-11-05,576.70,535.42,0.0121,8428.09,7.71,0.00,1.00,0.00,0.00,8428.09
2024-11-06,591.04,535.95,0.0249,8637.66,10.28,0.00,1.00,0.00,0.00,8637.66
2024-11-07,595.61,536.50,0.0077,8704.45,11.02,0.00,1.00,0.00,0.00,8704.45
2024-11-08,598.19,537.05,0.0043,8742.15,11.38,0.00,1.00,0.00,0.00,8742.15
2024-11-11,598.76,537.61,0.0010,8750.48,11.38,0.00,1.00,0.00,0.00,8750.48
2024-11-12,596.90,538.13,-0.0031,8723.30,10.92,0.00,1.00,0.00,0.00,8723.30
2024-11-13,597.19,538.66,0.0005,8727.54,10.86,0.00,1.00,0.00,0.00,8727.54
2024-11-14,593.35,539.22,-0.0064,8671.42,10.04,0.00,1.00,0.00,0.00,8671.42
2024-11-15,585.75,539.70,-0.0128,8560.35,8.53,0.00,1.00,0.00,0.00,8560.35
2024-11-18,588.15,540.17,0.0041,8595.43,8.88,0.00,1.00,0.00,0.00,8595.43
2024-11-19,590.30,540.66,0.0037,8626.85,9.18,0.00,1.00,0.00,0.00,8626.85
2024-11-20,590.50,541.14,0.0003,8629.77,9.12,0.00,1.00,0.00,0.00,8629.77
2024-11-21,593.67,541.62,0.0054,8676.10,9.61,0.00,1.00,0.00,0.00,8676.10
2024-11-22,595.51,542.10,0.0031,8702.99,9.85,0.00,1.00,0.00,0.00,8702.99
2024-11-25,597.53,542.59,0.0034,8732.51,10.13,0.00,1.00,0.00,0.00,8732.51
2024-11-26,600.65,543.08,0.0052,8778.11,10.60,0.00,1.00,0.00,0.00,8778.11
2024-11-27,598.83,543.61,-0.0030,8751.51,10.16,0.00,1.00,0.00,0.00,8751.51
2024-11-29,602.55,544.13,0.0062,8805.87,10.74,0.00,1.00,0.00,0.00,8805.87
2024-12-02,603.63,544.64,0.0018,8821.66,10.83,0.00,1.00,0.00,0.00,8821.66
2024-12-03,603.91,545.16,0.0005,8825.75,10.78,0.00,1.00,0.00,0.00,8825.75
2024-12-04,607.66,545.71,0.0062,8880.55,11.35,0.00,1.00,0.00,0.00,8880.55
2024-12-05,606.66,546.26,-0.0016,8865.94,11.06,0.00,1.00,0.00,0.00,8865.94
2024-12-06,607.81,546.76,0.0019,8882.74,11.17,0.00,1.00,0.00,0.00,8882.74
2024-12-09,604.68,547.25,-0.0051,8837.00,10.50,0.00,1.00,0.00,0.00,8837.00
2024-12-10,602.80,547.73,-0.0031,8809.53,10.05,0.00,1.00,0.00,0.00,8809.53
2024-12-11,607.46,548.23,0.0077,8877.63,10.80,0.00,1.00,0.00,0.00,8877.63
2024-12-12,604.33,548.72,-0.0052,8831.89,10.13,0.00,1.00,0.00,0.00,8831.89
2024-12-13,604.21,549.20,-0.0002,8830.13,10.02,0.00,1.00,0.00,0.00,8830.13
2024-12-16,606.79,549.67,0.0043,8867.84,10.39,0.00,1.00,0.00,0.00,8867.84
2024-12-17,604.29,550.13,-0.0041,8831.30,9.84,0.00,1.00,0.00,0.00,8831.30
2024-12-18,586.28,550.53,-0.0298,8568.10,6.49,0.00,1.00,0.00,0.00,8568.10
2024-12-19,586.10,550.91,-0.0003,8565.47,6.39,0.00,1.00,0.00,0.00,8565.47
2024-12-20,591.15,551.29,0.0120,8668.35,7.23,0.00,1.00,0.00,0.00,8668.35
2024-12-23,594.69,551.71,0.0060,8720.26,7.79,0.00,1.00,0.00,0.00,8720.26
2024-12-24,601.30,552.16,0.0111,8817.18,8.90,0.00,1.00,0.00,0.00,8817.18
2024-12-26,601.34,552.58,0.0001,8817.77,8.82,0.00,1.00,0.00,0.00,8817.77
2024-12-27,595.01,552.97,-0.0105,8724.95,7.60,0.00,1.00,0.00,0.00,8724.95
2024-12-30,588.22,553.34,-0.0114,8625.38,6.30,0.00,1.00,0.00,0.00,8625.38
2024-12-31,586.08,553.72,-0.0036,8594.00,5.84,0.00,1.00,0.00,0.00,8594.00
2025-01-02,584.64,554.08,-0.0025,8572.89,5.52,0.00,1.00,0.00,0.00,8572.89
2025-01-03,591.95,554.46,0.0125,8680.08,6.76,0.00,1.00,0.00,0.00,8680.08
2025-01-06,595.36,554.84,0.0058,8730.08,7.30,0.00,1.00,0.00,0.00,8730.08
2025-01-07,588.63,555.17,-0.0113,8631.40,6.03,0.00,1.00,0.00,0.00,8631.40
2025-01-08,589.49,555.51,0.0015,8644.01,6.12,0.00,1.00,0.00,0.00,8644.01
2025-01-10,580.49,555.81,-0.0153,8512.03,4.44,0.00,1.00,0.00,0.00,8512.03
2025-01-13,581.39,556.13,0.0016,8525.23,4.54,0.00,1.00,0.00,0.00,8525.23
2025-01-14,582.19,556.42,0.0014,8536.96,4.63,0.00,1.00,0.00,0.00,8536.96
2025-01-15,592.78,556.77,0.0182,8692.25,6.47,0.00,1.00,0.00,0.00,8692.25
2025-01-16,591.64,557.12,-0.0019,8675.53,6.20,0.00,1.00,0.00,0.00,8675.53
2025-01-17,597.58,557.51,0.0100,8762.63,7.19,0.00,1.00,0.00,0.00,8762.63
2025-01-21,603.05,557.93,0.0092,8842.84,8.09,0.00,1.00,0.00,0.00,8842.84
2025-01-22,606.44,558.40,0.0056,8892.55,8.60,0.00,1.00,0.00,0.00,8892.55
2025-01-23,609.75,558.85,0.0055,8941.09,9.11,0.00,1.00,0.00,0.00,8941.09
2025-01-24,607.97,559.30,-0.0029,8914.99,8.70,0.00,1.00,0.00,0.00,8914.99
2025-01-27,599.37,559.70,-0.0141,8788.88,7.09,0.00,1.00,0.00,0.00,8788.88
2025-01-28,604.52,560.15,0.0086,8864.40,7.92,0.00,1.00,0.00,0.00,8864.40
2025-01-29,601.81,560.57,-0.0045,8824.66,7.36,0.00,1.00,0.00,0.00,8824.66
2025-01-30,605.04,561.04,0.0054,8872.02,7.84,0.00,1.00,0.00,0.00,8872.02
2025-01-31,601.82,561.53,-0.0053,8824.81,7.18,0.00,1.00,0.00,0.00,8824.81
2025-02-03,597.77,562.00,-0.0067,8765.42,6.36,0.00,1.00,0.00,0.00,8765.42
2025-02-04,601.78,562.51,0.0067,8824.22,6.98,0.00,1.00,0.00,0.00,8824.22
2025-02-05,604.22,563.03,0.0041,8860.00,7.32,0.00,1.00,0.00,0.00,8860.00
2025-02-06,606.32,563.59,0.0035,8890.79,7.58,0.00,1.00,0.00,0.00,8890.79
2025-02-07,600.77,564.09,-0.0092,8809.41,6.50,0.00,1.00,0.00,0.00,8809.41
2025-02-10,604.85,564.59,0.0068,8869.24,7.13,0.00,1.00,0.00,0.00,8869.24
2025-02-11,605.31,565.09,0.0008,8875.98,7.12,0.00,1.00,0.00,0.00,8875.98
2025-02-12,603.36,565.59,-0.0032,8847.39,6.68,0.00,1.00,0.00,0.00,8847.39
2025-02-13,609.73,566.09,0.0106,8940.79,7.71,0.00,1.00,0.00,0.00,8940.79
2025-02-14,609.70,566.59,-0.0000,8940.35,7.61,0.00,1.00,0.00,0.00,8940.35
2025-02-18,611.49,567.14,0.0029,8966.60,7.82,0.00,1.00,0.00,0.00,8966.60
2025-02-19,612.93,567.70,0.0024,8987.72,7.97,0.00,1.00,0.00,0.00,8987.72
2025-02-20,610.38,568.23,-0.0042,8950.33,7.42,0.00,1.00,0.00,0.00,8950.33
2025-02-21,599.94,568.67,-0.0171,8797.24,5.50,0.00,1.00,0.00,0.00,8797.24
2025-02-24,597.21,569.07,-0.0046,8757.21,4.94,0.00,1.00,0.00,0.00,8757.21
2025-02-25,594.24,569.46,-0.0050,8713.66,4.35,0.00,1.00,0.00,0.00,8713.66
2025-02-26,594.54,569.85,0.0005,8718.05,4.33,0.00,1.00,0.00,0.00,8718.05
2025-02-27,585.05,570.17,-0.0160,8578.90,2.61,0.00,1.00,0.00,0.00,8578.90
2025-02-28,594.18,570.54,0.0156,8712.78,4.14,0.00,1.00,0.00,0.00,8712.78
2025-03-03,583.77,570.85,-0.0175,8560.13,2.26,0.00,1.00,0.00,0.00,8560.13
2025-03-04,576.86,571.12,-0.0118,8458.80,1.01,0.00,1.00,0.00,0.00,8458.80
2025-03-05,583.06,571.39,0.0107,8549.72,2.04,0.00,1.00,0.00,0.00,8549.72
2025-03-06,572.71,571.61,-0.0178,8397.95,0.19,0.00,1.00,0.00,0.00,8397.95
2025-03-07,575.92,571.84,0.0056,8445.02,0.71,0.00,1.00,0.00,0.00,8445.02
2025-03-10,560.58,571.99,-0.0266,8220.08,-1.99,0.00,1.00,0.00,0.00,8220.08
2025-03-11,555.92,572.11,-0.0083,8151.75,-2.83,0.00,1.00,0.00,0.00,8151.75
2025-03-12,558.87,572.26,0.0053,8195.01,-2.34,0.00,1.00,0.00,0.00,8195.01
2025-03-13,551.42,572.39,-0.0133,8085.76,-3.66,0.00,1.00,0.00,0.00,8085.76
2025-03-14,562.81,572.55,0.0207,8252.78,-1.70,0.00,1.00,0.00,0.00,8252.78
2025-03-17,567.15,572.74,0.0077,8316.42,-0.98,0.00,1.00,0.00,0.00,8316.42
2025-03-18,561.02,572.91,-0.0108,8226.53,-2.08,0.00,1.00,0.00,0.00,8226.53
2025-03-19,567.13,573.14,0.0109,8316.13,-1.05,0.00,1.00,0.00,0.00,8316.13
2025-03-20,565.49,573.33,-0.0029,8292.08,-1.37,0.00,1.00,0.00,0.00,8292.08
2025-03-21,563.98,573.51,0.0003,8294.82,-1.66,0.00,1.00,0.00,0.00,8294.82
2025-03-24,574.08,573.74,0.0179,8443.36,0.06,0.00,1.00,0.00,0.00,8443.36
2025-03-25,575.46,573.94,0.0178,8594.02,0.26,1.00,0.00,0.00,0.00,0.00
2025-03-26,568.59,574.11,-0.0556,8116.12,-0.96,1.00,0.00,0.00,0.00,0.00
2025-03-27,567.08,574.28,-0.0027,8094.57,-1.25,0.00,1.00,0.00,0.00,8094.57
2025-03-28,555.66,574.38,-0.0201,7931.56,-3.26,0.00,1.00,0.00,0.00,7931.56
2025-03-31,559.39,574.49,0.0067,7984.80,-2.63,0.00,1.00,0.00,0.00,7984.80
2025-04-01,560.97,574.59,0.0028,8007.35,-2.37,0.00,1.00,0.00,0.00,8007.35
2025-04-02,564.52,574.70,0.0063,8058.03,-1.77,0.00,1.00,0.00,0.00,8058.03
2025-04-03,536.70,574.67,-0.0493,7660.92,-6.61,0.00,1.00,0.00,0.00,7660.92
2025-04-04,505.28,574.46,-0.0585,7212.43,-12.04,0.00,1.00,0.00,0.00,7212.43
2025-04-07,504.38,574.24,0.0039,7240.51,-12.17,0.00,0.00,1.00,7240.51,0.00
2025-04-08,496.48,573.98,-0.0570,6828.02,-13.50,0.00,0.00,1.00,6828.02,0.00
2025-04-09,548.62,574.00,0.3524,9234.50,-4.42,0.00,0.00,1.00,9234.50,0.00
2025-04-10,524.58,573.91,-0.1230,8098.84,-8.60,0.00,0.00,1.00,8098.84,0.00
2025-04-11,533.94,573.86,0.0529,8527.13,-6.96,0.00,0.00,1.00,8527.13,0.00
2025-04-14,539.12,573.83,0.0210,8706.17,-6.05,0.00,0.00,1.00,8706.17,0.00
